name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Maruti Swift Vdi BSIII,2009,143941.8887464851,100000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5.0
Hyundai EON Era Plus,2014,120757.52455609292,50000,Petrol,Individual,Manual,Third Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Ford Ecosport 1.5 DV5 MT Titanium,2017,828554.7954398096,63982,Diesel,Dealer,Manual,First Owner,22.7 kmpl,1498 CC,89.84 bhp,204Nm@ 2000-2750rpm,5.0
Maruti Swift Dzire ZDi,2011,208545.67393882573,120000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
Hyundai Accent Executive CNG,2012,311525.44410634786,48000,CNG,Individual,Manual,First Owner,13.2 km/kg,1495 CC,93.7 bhp,124.5Nm@ 3500rpm,5.0
Hyundai Creta 1.6 CRDi Anniversary Edition,2016,1182063.6893527135,39000,Diesel,Dealer,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
Maruti Swift Dzire LDi,2011,211076.81106293947,90000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
Hyundai Accent GLX,2003,192387.9880177155,90000,Petrol,Individual,Manual,Second Owner,13.2 kmpl,1495 CC,94 bhp,"12.5@ 3,500(kgm@ rpm)",5.0
Toyota Innova 2.5 E Diesel PS 7-Seater,2007,438573.36969219893,147500,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0
Ambassador Grand 1500 DSZ BSIII,2008,104138.24377852678,60000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,1995 CC,52 bhp,106Nm@ 2200rpm,5.0
Tata Indigo CS LS (TDI) BS-III,2016,367998.7940978706,90000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0
Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,629591.7225401178,80000,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0
Mahindra Bolero DI,2004,-95596.10763470083,150000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0
Maruti Swift Dzire VDI,2017,611861.672996372,25000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Ford Endeavour 2.5L 4X2 MT,2004,768979.347097747,93415,Diesel,Dealer,Manual,First Owner,13.1 kmpl,2499 CC,141 bhp,330Nm@ 1800rpm,7.0
Maruti Swift VDI,2019,560673.1407200769,15000,Diesel,Individual,Manual,Second Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Hyundai i10 Magna,2010,156103.846210666,106000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
Volkswagen Polo Diesel Highline 1.2L,2013,313481.295584023,70000,Diesel,Individual,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm,5.0
Hyundai i20 Sportz 1.2,2015,431615.4776075706,90000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Mahindra TUV 300 T8,2016,711387.9080000222,71000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0
Honda City 2017-2020 GXi,2006,36929.31246883422,100000,Petrol,Individual,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5.0
Hyundai EON Sportz,2017,211738.9961136058,31000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Hyundai i20 2015-2017 Magna 1.2,2017,561558.6541306376,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Maruti Swift VXi BSIV,2006,75211.30123506486,93000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,1197 CC,85 bhp,"113Nm@ 4,500rpm",5.0
Tata Safari Storme EX,2017,1086660.1830040812,60000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0
Maruti Vitara Brezza ZDi,2017,787984.2876977026,90000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2542215.115014039,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
Tata Sumo Gold EX BSIII,2015,458346.1292248666,75000,Diesel,Individual,Manual,First Owner,14.07 kmpl,2956 CC,69.01 bhp,223Nm@ 1600-2200rpm,7.0
Ford Figo Petrol Titanium,2010,72602.52943995595,120000,Petrol,Individual,Manual,Third Owner,15.6 kmpl,1196 CC,70 bhp,102Nm@ 4000rpm,5.0
Mahindra Bolero 2011-2019 SLX,2012,334060.7725508064,50000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
Mahindra Xylo D4 BSIII,2013,514370.43208201975,300000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,8.0
Hyundai EON Era Plus Sports Edition,2017,334320.38915395737,20000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Hyundai i10 Sportz 1.1L,2010,129710.38514511287,70000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Ford Figo Titanium Diesel BSIV,2010,590713.4659996107,86017,Diesel,Dealer,Manual,Second Owner,25.5 kmpl,1498 CC,99.23 bhp,215Nm@ 1750-3000,5.0
Maruti Alto LXi,2008,-157094.58532177657,70000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Tata Tiago 1.2 Revotron XZ,2017,516145.683989279,28000,Petrol,Individual,Manual,Second Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
Maruti Ritz VDi,2010,223333.59910929948,120000,Diesel,Individual,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5.0
Maruti Swift ZXI 2018,2018,784011.0448970869,15000,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Maruti Swift VXI BSIV,2015,552405.3391754702,150546,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Maruti Alto K10 LXI CNG,2019,951538.489853993,20000,CNG,Individual,Manual,First Owner,32.26 km/kg,998 CC,58.3 bhp,78Nm@ 3500rpm,4.0
Maruti Ritz LXi,2016,393083.5952504426,82000,Petrol,Individual,Manual,Third Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0
Toyota Innova 2.5 G2,2005,418931.6158723682,120000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
Honda City i-DTEC V,2019,793719.2444377914,40000,Diesel,Individual,Manual,First Owner,25.6 kmpl,1498 CC,97.9 bhp,200Nm@ 1750rpm,5.0
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2014,576883.6263413653,50000,Diesel,Individual,Manual,First Owner,13.58 kmpl,2499 CC,72.4 bhp,171Nm@ 1800rpm,9.0
Maruti Swift AMT VVT VXI,2019,890221.2173645124,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
BMW X4 M Sport X xDrive20d,2019,4066323.2794750556,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
Honda City V MT,2013,633587.3880484551,32000,Petrol,Individual,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0
Maruti Alto LXi,2012,-34351.10189642012,111000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,592885.4837976173,132000,Diesel,Dealer,Manual,Second Owner,22.7 kmpl,1498 CC,89.84 bhp,204Nm@ 2000-2750rpm,5.0
Chevrolet Sail Hatchback Petrol,2013,459543.02436214685,46000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 CC,84.8 bhp,113Nm@ 5000rpm,5.0
Maruti Swift ZXI,2014,414715.9616265744,50000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,478427.4684206918,375000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,-292220.3139043078,80000,Diesel,Individual,Manual,Second Owner,,,,,
Hyundai Grand i10 1.2 CRDi Sportz,2017,646073.4222219735,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0
Maruti Alto 800 LXI,2017,176444.65276131034,25000,Petrol,Individual,Manual,Second Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,2824261.830414027,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
Mahindra Thar CRDe AC,2018,854329.42238722,12000,Diesel,Dealer,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,247Nm@ 1800-2000rpm,6.0
Tata Tiago 1.05 Revotorq XZ WO Alloy,2016,452600.23059360683,100000,Diesel,Individual,Manual,First Owner,27.28 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
Tata Indigo eCS LX BSIV,2012,223861.66205058247,35000,Diesel,Individual,Manual,Second Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
Toyota Innova 2.5 G2,2006,380204.32391771674,264000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
Hyundai Verna 1.6 SX CRDi (O),2012,742130.0158316419,80000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
Ford Aspire Trend Plus,2018,743018.7614833266,13000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1194 CC,94.93 bhp,120Nm@ 4250rpm,5.0
Maruti Eeco 7 Seater Standard BSIV,2018,373130.49682012945,44000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7.0
Chevrolet Beat LS,2013,205499.68162376434,70000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5.0
Hyundai i10 Magna 1.1L,2010,114650.34686564654,55000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2018,1050101.983847268,75000,Diesel,Individual,Automatic,First Owner,21.5 kmpl,1498 CC,108.5 bhp,250Nm@ 1500-3000rpm,5.0
Maruti Alto K10 LXI,2014,185836.43156027794,60000,Petrol,Individual,Manual,Second Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Maruti Swift VDI BSIV,2016,480102.4323780164,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Hyundai Xcent 1.2 Kappa S Option,2014,387305.9195015207,46000,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5.0
Maruti Ciaz ZDi,2014,589034.5876829699,90000,Diesel,Individual,Manual,Second Owner,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Nissan Micra XL,2011,303540.96407711506,43500,Petrol,Individual,Manual,Second Owner,18.06 kmpl,1198 CC,75 bhp,104Nm@ 4000rpm,5.0
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,714114.7635222748,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0
Maruti Alto K10 2010-2014 VXI,2011,153208.0579102263,46000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Maruti Alto 800 VXI,2014,138401.49449592084,25000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
Maruti Ertiga SHVS ZDI Plus,2017,788755.3028382733,50000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0
Hyundai Grand i10 1.2 CRDi Sportz,2018,605870.7231521681,30000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0
Mahindra Scorpio M2DI,2012,559333.5713626221,120000,Diesel,Individual,Manual,Second Owner,13.5 kmpl,2179 CC,115 bhp,277.5Nm@ 1700-2200rpm,5.0
Maruti Swift ZDi,2014,443658.16490713507,90000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2016,745586.905559361,52000,Diesel,Individual,Manual,First Owner,23.65 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Hyundai Grand i10 1.2 CRDi Sportz,2017,646073.4222219735,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0
Tata Indica V2 2001-2011 DLS BSIII,2008,-114373.29933601618,120000,Diesel,Individual,Manual,Fourth & Above Owner,17.88 kmpl,1396 CC,52.8 bhp,85Nm@ 2500rpm,5.0
Honda City 1.5 V MT,2011,606314.3338355422,93500,Petrol,Dealer,Manual,Third Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5.0
Toyota Camry 2.5 Hybrid,2016,1934232.03398785,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0
Skoda Octavia Elegance 1.8 TSI AT,2017,1485211.5998973101,33000,Petrol,Dealer,Automatic,Second Owner,14.7 kmpl,1798 CC,177.5 bhp,250Nm@ 1250-5000rpm,5.0
Tata Indica V2 DLE BSIII,2009,-40221.499059289694,60000,Diesel,Individual,Manual,Second Owner,17.88 kmpl,1396 CC,52.8 bhp,85Nm@ 2500rpm,5.0
Renault KWID RXT,2018,300088.2912615314,30000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0
Honda Amaze S i-Dtech,2013,586090.9786624312,70000,Diesel,Individual,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Ford EcoSport 1.5 Petrol Titanium BSIV,2017,990198.3219018802,25000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1497 CC,121.31 bhp,150Nm@ 4500rpm,5.0
Skoda Kodiaq 2.0 TDI Style,2018,1391592.6608785093,17601,Diesel,Dealer,Automatic,First Owner,16.25 kmpl,1968 CC,148 bhp,340nm@ 1750-3000rpm,7.0
Maruti Alto K10 VXI AGS,2019,779621.6311252192,14000,Petrol,Individual,Automatic,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
Maruti Alto 800 LXI,2015,142574.49990321696,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
Hyundai i10 Magna,2009,121736.3402903229,110000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
Maruti Ertiga ZDI,2013,550250.5494034216,60000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,7.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,710201.5166691765,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,442226.0871022716,217000,Diesel,Individual,Manual,Fourth & Above Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
Hyundai Verna 1.6 SX,2014,803534.1787861213,106000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
Maruti Swift Dzire ZDI Plus,2017,719843.2561654001,70000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0
Tata Safari Storme EX,2015,1013465.8723977059,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0
Hyundai Verna Transform CRDi VGT SX ABS,2010,403947.17650444806,190000,Diesel,Individual,Manual,Third Owner,16.2 kmpl,1493 CC,110 bhp,24 KGM at 1900-2750 RPM,5.0
Mahindra Scorpio 2009-2014 EX 2WD 9S,2014,478587.608788006,50000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,9.0
Tata New Safari Dicor VX 4X2 BS IV,2009,693541.9292542636,90000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
Tata Safari Storme VX,2014,941409.1733057052,86000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
Renault KWID RXT,2016,249179.32008055598,30000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0
Tata Tiago 1.2 Revotron XZA,2019,915232.5463681743,9200,Petrol,Individual,Automatic,First Owner,23.84 kmpl,1199 CC,83.83 bhp,114Nm@ 3500rpm,5.0
Ford Ecosport 1.5 Diesel Titanium,2015,813952.1355660856,92651,Diesel,Dealer,Manual,First Owner,21.7 kmpl,1498 CC,98.96 bhp,215Nm@ 1750-2500rpm,5.0
Ford Figo 1.5D Titanium MT,2017,739878.1296946257,30000,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0
Hyundai Verna 1.6 SX,2011,738759.0985158756,80000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
Hyundai Elite i20 Magna Plus BSIV,2019,656266.0659132376,10000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,117nm@ 4000rpm,5.0
Maruti 800 Std,2006,103938.33821692318,59000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Honda Civic 1.8 V MT,2009,498012.7083475441,125000,Petrol,Individual,Manual,Second Owner,13.5 kmpl,1799 CC,130 bhp,172Nm@ 4300rpm,5.0
Mahindra Bolero SLX,2011,164985.63550991565,100000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0
Tata Tiago 1.2 Revotron XT,2018,561444.4009679481,50000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
Hyundai EON Magna Plus,2017,213488.05249476433,15000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,2824261.830414027,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,2824261.830414027,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
Renault Fluence 2.0,2011,1081779.2613066584,43000,Petrol,Dealer,Automatic,First Owner,13.4 kmpl,1997 CC,135.1 bhp,190Nm@ 3700rpm,5.0
Maruti Ertiga SHVS VDI,2016,696361.5060557052,70000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0
Renault KWID 1.0,2016,300345.82884625345,30000,Petrol,Individual,Manual,Third Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0
Ford EcoSport 1.5 TDCi Titanium BSIV,2018,902134.5348830447,27620,Diesel,Dealer,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,970178.4503126666,31596,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1497 CC,121.36 bhp,150Nm@ 4500rpm,5.0
Honda City i-VTEC CVT ZX,2017,1328461.164245896,20000,Petrol,Individual,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5.0
Mahindra XUV500 W8 4WD,2012,891808.4148653746,60000,Diesel,Individual,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
Tata Indigo CS LS (TDI) BS-III,2015,359481.1664706841,52000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0
Hyundai i20 Sportz 1.4 CRDi,2015,550588.1348628774,80000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
Tata Manza Club Class Quadrajet90 VX,2013,359877.2197691202,189000,Diesel,Individual,Manual,First Owner,21.02 kmpl,1248 CC,88.76 bhp,200Nm@ 1750-3000rpm,5.0
Renault Duster 110PS Diesel RxL,2012,555475.2078173384,110000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0
Honda Jazz 1.2 V i VTEC,2018,751828.2860947549,8576,Petrol,Dealer,Manual,First Owner,18.7 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
Honda Jazz VX,2016,521357.0289104134,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
Hyundai i10 Era 1.1,2008,20356.16980344057,93331,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Hyundai i10 Era,2008,38390.85764017701,30000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Mahindra Bolero Power Plus SLX,2017,591825.587847732,60000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7.0
Volkswagen Polo Select 1.2 MPI Highline,2010,378523.9811200723,44500,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5.0
Toyota Innova 2.5 V Diesel 7-seater,2011,455442.50864393264,291000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0
Honda Jazz VX,2016,521357.0289104134,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
Maruti Swift AMT VVT VXI,2019,890221.2173645124,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Hyundai Grand i10 Sportz,2014,384186.8336635828,60000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,749647.465301469,100000,Diesel,Individual,Manual,First Owner,23.65 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Tata Indigo CS LS (TDI) BS III,2013,202339.31274163723,120000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5.0
Honda Jazz 1.5 V i DTEC,2016,748545.4570622668,30000,Diesel,Individual,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Hyundai Santro Xing XS eRLX Euro II,2003,-382540.9981886223,68300,Petrol,Individual,Manual,Third Owner,,,,,
Maruti Swift VDI,2012,333299.8181243986,56000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Ertiga ZXI,2014,622757.5958805233,46100,Petrol,Dealer,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0
Tata New Safari DICOR 2.2 EX 4x2,2011,615600.7596460134,140000,Diesel,Individual,Manual,Second Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
Jaguar XF 2.0 Diesel Portfolio,2017,2824261.830414027,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
Mahindra XUV500 W10 2WD,2015,1249571.286389105,56975,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
BMW X6 xDrive30d,2013,3833136.2540827543,56000,Diesel,Dealer,Automatic,First Owner,11.2 kmpl,2993 CC,241 bhp,540Nm@ 2000rpm,4.0
Renault Duster 85PS Diesel RxL,2015,650031.2599247396,75000,Diesel,Dealer,Manual,First Owner,19.87 kmpl,1461 CC,83.8 bhp,200Nm@ 1750rpm,5.0
Maruti 800 AC,2009,214577.93042654544,80000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Mahindra Bolero 2011-2019 EX AC,2017,528035.9358028471,70000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
Nissan Terrano XE 85 PS,2016,570329.6361477673,35000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0
Mahindra Bolero Power Plus ZLX,2019,654450.9399993941,14000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7.0
Maruti Wagon R LXI,2004,-124031.88847576827,70000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
